epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2676,2.80268,5.98577,2.43023,0.69753,0.01791,0.01209,0.0053,2.71494,4.91892,2.57992,0.000331865,0.000331865,0.0671454
2,125.194,2.61031,4.07345,2.34385,0.75948,0.04537,0.05769,0.013,2.63175,6.61618,2.58119,0.000632271,0.000632271,0.0341124
3,187.691,2.51845,3.86782,2.32457,0.40427,0.02939,0.02004,0.00438,2.8425,4.60949,2.53928,0.000899677,0.000899677,0.00104652
4,250.241,2.48793,3.72308,2.25927,0.27597,0.09512,0.06092,0.01889,2.47911,4.13394,2.44541,0.0008515,0.0008515,0.0008515
5,312.915,2.43114,3.56423,2.1884,0.822,0.07833,0.09589,0.0295,2.32006,4.12374,2.33534,0.000802,0.000802,0.000802
6,375.613,2.3307,3.32555,2.15761,0.19731,0.15152,0.13184,0.04237,2.37206,3.30709,2.38541,0.0007525,0.0007525,0.0007525
7,438.214,2.30265,3.20597,2.10878,0.36332,0.13338,0.11833,0.04599,2.34956,3.17866,2.29244,0.000703,0.000703,0.000703
8,500.628,2.29107,3.12839,2.11628,0.25214,0.14198,0.13231,0.0493,2.34939,3.40418,2.40041,0.0006535,0.0006535,0.0006535
9,563.109,2.2069,2.99371,2.12069,0.30911,0.17954,0.17806,0.06858,2.22596,3.03542,2.23487,0.000604,0.000604,0.000604
10,625.661,2.16439,2.90401,2.03433,0.37684,0.19538,0.16166,0.06472,2.31819,3.09267,2.34042,0.0005545,0.0005545,0.0005545
11,688.394,2.14475,2.87035,2.1786,0.21736,0.21849,0.16675,0.06645,2.25993,2.97297,2.29406,0.000505,0.000505,0.000505
12,750.239,2.1132,2.71314,2.17642,0.33422,0.19099,0.17914,0.06147,2.24414,2.80383,2.23384,0.0004555,0.0004555,0.0004555
13,812.26,2.04761,2.63411,2.12399,0.22617,0.17461,0.19579,0.07414,2.22263,2.82348,2.22039,0.000406,0.000406,0.000406
14,874.386,2.01555,2.5167,2.10776,0.26011,0.28057,0.22798,0.07864,2.23404,2.74143,2.34393,0.0003565,0.0003565,0.0003565
15,936.381,1.97784,2.3881,2.0882,0.3121,0.26894,0.2423,0.08814,2.25739,2.75005,2.28665,0.000307,0.000307,0.000307
16,998.553,1.96238,2.32989,2.05827,0.27651,0.28346,0.2395,0.09833,2.23812,2.63664,2.22826,0.0002575,0.0002575,0.0002575
17,1060.53,1.91969,2.21908,2.00268,0.30037,0.26795,0.23084,0.08908,2.25283,2.70637,2.25709,0.000208,0.000208,0.000208
18,1122.47,1.85538,2.0686,1.96525,0.33168,0.2604,0.22663,0.09144,2.25973,2.61556,2.29611,0.0001585,0.0001585,0.0001585
19,1184.39,1.84503,2.02979,1.98599,0.49437,0.24786,0.26642,0.10349,2.27392,2.60085,2.30906,0.000109,0.000109,0.000109
20,1246.42,1.79713,1.91532,1.93227,0.24858,0.32739,0.25586,0.10032,2.27395,2.55496,2.31194,5.95e-05,5.95e-05,5.95e-05
